sku,position,,,,,,,
SKDAE2131,805,,,,,,,
SKDAE2214,806,,,,,,,
CCAA3310,807,,,,,,,
CCAA3664,808,,,,,,,
CCAA3924,809,,,,,,,
CCAC1350,810,,,,,,,
PMNS0035,811,,,,,,,
PSAAD5849,812,,,,,,,
PSAAD6138,813,,,,,,,
PSAAD6502,814,,,,,,,
PSAAD6795,815,,,,,,,
PSAAD6805,816,,,,,,,
SAAA28880,817,,,,,,,
SAAA29821,818,,,,,,,
SAAD5714,819,,,,,,,
SAAE7269,820,,,,,,,
SAAE7327,821,,,,,,,
SAAE7383,822,,,,,,,
SAAE7579,823,,,,,,,
SKDAA17107,824,,,,,,,
SKDAC1630,825,,,,,,,
SKDAD1755,826,,,,,,,
CCAB1160,827,,,,,,,
PCCAA3508,828,,,,,,,
PGWAA0541,829,,,,,,,
PSAAD4551,830,,,,,,,
PSAAD6844,831,,,,,,,
SAAA30072,832,,,,,,,
SAAC3917,833,,,,,,,
SAAD6065,834,,,,,,,
SAAD6744,835,,,,,,,
SAAE7390,836,,,,,,,
SAAE7919,837,,,,,,,
SKDAA16543,838,,,,,,,
SKDAA16698,839,,,,,,,
SKDAA17321,840,,,,,,,
SKDAA17681,841,,,,,,,
SKDAC1655,842,,,,,,,
SKDAD1869,843,,,,,,,
SKDAE2013,844,,,,,,,
SKDAE2098,845,,,,,,,
CCAB1181,846,,,,,,,
