Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
BEL,*,*,5500.0000,3283.0000
BEL,*,*,6000.0000,3352.0000
BEL,*,*,6500.0000,3488.0000
BEL,*,*,7000.0000,3557.0000
BEL,*,*,7500.0000,3625.0000
BEL,*,*,8000.0000,3762.0000
BEL,*,*,8500.0000,3830.0000
BEL,*,*,9000.0000,3899.0000
BEL,*,*,9500.0000,3967.0000
BEL,*,*,10000.0000,4104.0000
BEL,*,*,11000.0000,4514.0000
BEL,*,*,12000.0000,4925.0000
BEL,*,*,13000.0000,5335.0000
BEL,*,*,14000.0000,5746.0000
BEL,*,*,15000.0000,6156.0000
BEL,*,*,16000.0000,6553.0000
BEL,*,*,17000.0000,6949.0000
BEL,*,*,18000.0000,7346.0000
BEL,*,*,19000.0000,7743.0000
BEL,*,*,20000.0000,8140.0000
BEL,*,*,21000.0000,8536.0000
BEL,*,*,22000.0000,8933.0000
BEL,*,*,23000.0000,9330.0000
BEL,*,*,24000.0000,9726.0000
BEL,*,*,25000.0000,10123.0000
BEL,*,*,26000.0000,10506.0000
BEL,*,*,27000.0000,10889.0000
BEL,*,*,28000.0000,11272.0000
BEL,*,*,29000.0000,11655.0000
BEL,*,*,30000.0000,12038.0000
BEL,*,*,31000.0000,12421.0000
BEL,*,*,32000.0000,12804.0000
BEL,*,*,33000.0000,13188.0000
BEL,*,*,34000.0000,13571.0000
BEL,*,*,35000.0000,13954.0000
BEL,*,*,36000.0000,14337.0000
BEL,*,*,37000.0000,14720.0000
BEL,*,*,38000.0000,15103.0000
BEL,*,*,39000.0000,15486.0000
BEL,*,*,40000.0000,15869.0000
BEL,*,*,41000.0000,16252.0000
BEL,*,*,42000.0000,16635.0000
BEL,*,*,43000.0000,17018.0000
BEL,*,*,44000.0000,17401.0000
BEL,*,*,45000.0000,17784.0000
BEL,*,*,46000.0000,18167.0000
BEL,*,*,47000.0000,18550.0000
BEL,*,*,48000.0000,18933.0000
BEL,*,*,49000.0000,19316.0000
BEL,*,*,50000.0000,19699.0000
BEN,*,*,500.0000,1992.0000
BEN,*,*,1000.0000,1992.0000
BEN,*,*,1500.0000,2267.0000
BEN,*,*,2000.0000,2611.0000
BEN,*,*,2500.0000,2954.0000
BEN,*,*,3000.0000,3366.0000
BEN,*,*,3500.0000,3710.0000
BEN,*,*,4000.0000,4122.0000
BEN,*,*,4500.0000,4534.0000
BEN,*,*,5000.0000,4946.0000
BEN,*,*,5500.0000,5359.0000
BEN,*,*,6000.0000,5771.0000
BEN,*,*,6500.0000,6183.0000
BEN,*,*,7000.0000,6595.0000
BEN,*,*,7500.0000,7007.0000
BEN,*,*,8000.0000,7420.0000
BEN,*,*,8500.0000,7832.0000
BEN,*,*,9000.0000,8244.0000
BEN,*,*,9500.0000,8656.0000
BEN,*,*,10000.0000,9068.0000
BEN,*,*,11000.0000,10030.0000
BEN,*,*,12000.0000,10992.0000
BEN,*,*,13000.0000,11954.0000
BEN,*,*,14000.0000,12916.0000
BEN,*,*,15000.0000,13877.0000
BEN,*,*,16000.0000,14757.0000
BEN,*,*,17000.0000,15636.0000
BEN,*,*,18000.0000,16515.0000
BEN,*,*,19000.0000,17395.0000
BEN,*,*,20000.0000,18274.0000
BEN,*,*,21000.0000,19154.0000
BEN,*,*,22000.0000,20033.0000
BEN,*,*,23000.0000,20912.0000
BEN,*,*,24000.0000,21792.0000
BEN,*,*,25000.0000,22671.0000
BEN,*,*,26000.0000,23523.0000
BEN,*,*,27000.0000,24375.0000
BEN,*,*,28000.0000,25227.0000
BEN,*,*,29000.0000,26079.0000
BEN,*,*,30000.0000,26930.0000
BEN,*,*,31000.0000,27782.0000
BEN,*,*,32000.0000,28634.0000
BEN,*,*,33000.0000,29486.0000
BEN,*,*,34000.0000,30338.0000
BEN,*,*,35000.0000,31190.0000
BEN,*,*,36000.0000,32042.0000
BEN,*,*,37000.0000,32894.0000
BEN,*,*,38000.0000,33745.0000
BEN,*,*,39000.0000,34597.0000
BEN,*,*,40000.0000,35449.0000
BEN,*,*,41000.0000,36301.0000
BEN,*,*,42000.0000,37153.0000
BEN,*,*,43000.0000,38005.0000
BEN,*,*,44000.0000,38857.0000
BEN,*,*,45000.0000,39709.0000
BEN,*,*,46000.0000,40560.0000
BEN,*,*,47000.0000,41412.0000
BEN,*,*,48000.0000,42264.0000
BEN,*,*,49000.0000,43116.0000
BEN,*,*,50000.0000,43968.0000
BGD,*,*,500.0000,481.0000
BGD,*,*,1000.0000,481.0000
BGD,*,*,1500.0000,550.0000
BGD,*,*,2000.0000,687.0000
BGD,*,*,2500.0000,824.0000
BGD,*,*,3000.0000,893.0000
BGD,*,*,3500.0000,1031.0000
BGD,*,*,4000.0000,1168.0000
BGD,*,*,4500.0000,1237.0000
BGD,*,*,5000.0000,1374.0000
BGD,*,*,5500.0000,1511.0000
BGD,*,*,6000.0000,1649.0000
BGD,*,*,6500.0000,1786.0000
BGD,*,*,7000.0000,1924.0000
BGD,*,*,7500.0000,2061.0000
BGD,*,*,8000.0000,2198.0000
BGD,*,*,8500.0000,2336.0000
BGD,*,*,9000.0000,2473.0000
BGD,*,*,9500.0000,2611.0000
BGD,*,*,10000.0000,2748.0000
BGD,*,*,11000.0000,3023.0000
BGD,*,*,12000.0000,3298.0000
BGD,*,*,13000.0000,3572.0000
BGD,*,*,14000.0000,3847.0000
BGD,*,*,15000.0000,4122.0000
BGD,*,*,16000.0000,4397.0000
BGD,*,*,17000.0000,4672.0000
BGD,*,*,18000.0000,4946.0000
BGD,*,*,19000.0000,5221.0000
BGD,*,*,20000.0000,5496.0000
BGD,*,*,21000.0000,5771.0000
BGD,*,*,22000.0000,6046.0000
BGD,*,*,23000.0000,6320.0000
BGD,*,*,24000.0000,6595.0000
BGD,*,*,25000.0000,6870.0000
